TimestampEpoch;BusChannel;ID;IDE;DLC;DataLength;Dir;EDL;BRS;DataBytes
1627076635.972850;1;370;0;8;8;0;0;0;FF00000000000000
1627076635.973900;1;316;0;8;8;0;0;0;0500000000140080
1627076635.974150;1;260;0;8;8;0;0;0;1B00000000FF0000
1627076635.974400;1;2A0;0;8;8;0;0;0;00009600D7330000
1627076635.974600;1;545;0;8;8;0;0;0;9A00007B00000000
1627076635.974850;1;329;0;8;8;0;0;0;11AD70120020FF14
1627076635.980300;1;440;0;8;8;0;0;0;00000004FF000000
1627076635.980550;1;43F;0;8;8;0;0;0;004040FF6A000000
1627076635.980800;1;370;0;8;8;0;0;0;FF00000000000000
1627076635.983900;1;316;0;8;8;0;0;0;0500000000140080
1627076635.984150;1;260;0;8;8;0;0;0;1B00000000FF0000
1627076635.984400;1;2A0;0;8;8;0;0;0;00009600D7330000
1627076635.984600;1;545;0;8;8;0;0;0;9A00007B00000000
1627076635.984850;1;329;0;8;8;0;0;0;40AD70120020FF14
1627076635.988700;1;440;0;8;8;0;0;0;00000004FF000000
1627076635.988950;1;43F;0;8;8;0;0;0;004040FF6A000000
1627076635.989200;1;370;0;8;8;0;0;0;FF00000000000000
1627076635.993900;1;316;0;8;8;0;0;0;0500000000140080
1627076635.994150;1;260;0;8;8;0;0;0;1B00000000FF0000
1627076635.994400;1;2A0;0;8;8;0;0;0;00009600D7330000
1627076635.994650;1;545;0;8;8;0;0;0;9A00007B00000000
1627076635.994850;1;329;0;8;8;0;0;0;40AD70120020FF14
1627076635.996600;1;440;0;8;8;0;0;0;00000004FF000000
1627076635.996850;1;43F;0;8;8;0;0;0;004040FF6A000000
1627076635.997150;1;370;0;8;8;0;0;0;FF00000000000000
1627076636.003950;1;316;0;8;8;0;0;0;0500000000140080
1627076636.004200;1;260;0;8;8;0;0;0;1B00000000FF0000
1627076636.004450;1;2A0;0;8;8;0;0;0;00009600D7330000
1627076636.004650;1;545;0;8;8;0;0;0;9A00007B00000000
1627076636.004900;1;329;0;8;8;0;0;0;40AD70120020FF14
1627076636.005150;1;440;0;8;8;0;0;0;00000004FF000000
1627076636.005400;1;43F;0;8;8;0;0;0;004040FF6A000000
1627076636.005650;1;370;0;8;8;0;0;0;FF00000000000000
1627076636.012950;1;440;0;8;8;0;0;0;00000004FF000000
1627076636.013200;1;43F;0;8;8;0;0;0;004040FF6A000000
1627076636.013450;1;370;0;8;8;0;0;0;FF00000000000000
1627076636.013900;1;316;0;8;8;0;0;0;0500000000140080
1627076636.014150;1;260;0;8;8;0;0;0;1B00000000FF0000
1627076636.014400;1;2A0;0;8;8;0;0;0;00009600D7330000
1627076636.014650;1;545;0;8;8;0;0;0;9A00007B00000000
1627076636.014900;1;329;0;8;8;0;0;0;40AD70120020FF14
1627076636.021400;1;440;0;8;8;0;0;0;00000004FF000000
1627076636.021650;1;43F;0;8;8;0;0;0;004040FF6A000000
1627076636.021900;1;370;0;8;8;0;0;0;FF00000000000000
1627076636.023950;1;316;0;8;8;0;0;0;0500000000140080
1627076636.024200;1;260;0;8;8;0;0;0;1B00000000FF0000
1627076636.024450;1;2A0;0;8;8;0;0;0;00009600D7330000
1627076636.024700;1;545;0;8;8;0;0;0;9A00007B00000000
1627076636.024900;1;329;0;8;8;0;0;0;40AD70120020FF14
1627076636.029300;1;440;0;8;8;0;0;0;00000004FF000000
1627076636.029550;1;43F;0;8;8;0;0;0;004040FF6A000000
1627076636.029800;1;370;0;8;8;0;0;0;FF00000000000000
1627076636.033950;1;316;0;8;8;0;0;0;0500000000140080
1627076636.034200;1;260;0;8;8;0;0;0;1B00000000FF0000
1627076636.034400;1;2A0;0;8;8;0;0;0;00009600D7330000
1627076636.034650;1;545;0;8;8;0;0;0;9A00007B00000000
1627076636.034900;1;329;0;8;8;0;0;0;40AD70120020FF14
1627076636.037700;1;440;0;8;8;0;0;0;00000004FF000000
1627076636.037950;1;43F;0;8;8;0;0;0;004040FF6A000000
1627076636.038200;1;370;0;8;8;0;0;0;FF00000000000000
1627076636.043950;1;316;0;8;8;0;0;0;0500000000140080
1627076636.044200;1;260;0;8;8;0;0;0;1B00000000FF0000
1627076636.044450;1;2A0;0;8;8;0;0;0;00009600D7330000
1627076636.044700;1;545;0;8;8;0;0;0;9A00007B00000000
1627076636.044900;1;329;0;8;8;0;0;0;40AD70120020FF14
1627076636.045650;1;440;0;8;8;0;0;0;00000004FF000000
1627076636.045900;1;43F;0;8;8;0;0;0;004040FF6A000000
1627076636.046150;1;370;0;8;8;0;0;0;FF00000000000000
1627076636.053900;1;316;0;8;8;0;0;0;0500000000140080
1627076636.054150;1;260;0;8;8;0;0;0;1B00000000FF0000
1627076636.054400;1;2A0;0;8;8;0;0;0;00009600D7330000
1627076636.054650;1;440;0;8;8;0;0;0;00000004FF000000
1627076636.054900;1;43F;0;8;8;0;0;0;004040FF6A000000
1627076636.055200;1;370;0;8;8;0;0;0;FF00000000000000
1627076636.055400;1;545;0;8;8;0;0;0;9A00007900000000
1627076636.055650;1;329;0;8;8;0;0;0;40AD70120020FF14
1627076636.061950;1;440;0;8;8;0;0;0;00000004FF000000
1627076636.062200;1;43F;0;8;8;0;0;0;004040FF6A000000
1627076636.062450;1;370;0;8;8;0;0;0;FF00000000000000
1627076636.063950;1;316;0;8;8;0;0;0;0500000000140080
1627076636.064200;1;260;0;8;8;0;0;0;1B00000000FF0000
1627076636.064400;1;2A0;0;8;8;0;0;0;00009600D7330000
1627076636.064650;1;545;0;8;8;0;0;0;9A00007900000000
1627076636.064900;1;329;0;8;8;0;0;0;80AD70120020FF14
1627076636.070350;1;440;0;8;8;0;0;0;00000004FF000000
1627076636.070600;1;43F;0;8;8;0;0;0;004040FF6A000000
1627076636.070850;1;370;0;8;8;0;0;0;FF00000000000000
1627076636.073950;1;316;0;8;8;0;0;0;0500000000140080
1627076636.074200;1;260;0;8;8;0;0;0;1B00000000FF0000
1627076636.074450;1;2A0;0;8;8;0;0;0;00009600D7330000
1627076636.074700;1;545;0;8;8;0;0;0;9A00007900000000
1627076636.074900;1;329;0;8;8;0;0;0;80AD70120020FF14
1627076636.078300;1;440;0;8;8;0;0;0;00000004FF000000
1627076636.078500;1;43F;0;8;8;0;0;0;004040FF6A000000
1627076636.078750;1;370;0;8;8;0;0;0;FF00000000000000
1627076636.083950;1;316;0;8;8;0;0;0;0500000000140080
1627076636.084200;1;260;0;8;8;0;0;0;1B00000000FF0000
1627076636.084450;1;2A0;0;8;8;0;0;0;00009600D7330000
1627076636.084700;1;545;0;8;8;0;0;0;9A00007A00000000
1627076636.084900;1;329;0;8;8;0;0;0;80AD70120020FF14
1627076636.086700;1;440;0;8;8;0;0;0;00000004FF000000
1627076636.086950;1;43F;0;8;8;0;0;0;004040FF6A000000
1627076636.087200;1;370;0;8;8;0;0;0;FF00000000000000
1627076636.093950;1;316;0;8;8;0;0;0;0500000000140080
1627076636.094200;1;260;0;8;8;0;0;0;1B00000000FF0000
1627076636.094400;1;2A0;0;8;8;0;0;0;00009600D7330000
1627076636.094650;1;440;0;8;8;0;0;0;00000004FF000000
1627076636.094900;1;43F;0;8;8;0;0;0;004040FF6A000000
1627076636.095200;1;370;0;8;8;0;0;0;FF00000000000000
1627076636.095400;1;545;0;8;8;0;0;0;9A00007A00000000
1627076636.095650;1;329;0;8;8;0;0;0;80AD70120020FF14
1627076636.103000;1;440;0;8;8;0;0;0;00000004FF000000
1627076636.103250;1;43F;0;8;8;0;0;0;004040FF6A000000
1627076636.103500;1;370;0;8;8;0;0;0;FF00000000000000
1627076636.103950;1;316;0;8;8;0;0;0;0500000000140080
1627076636.104200;1;260;0;8;8;0;0;0;1B00000000FF0000
1627076636.104450;1;2A0;0;8;8;0;0;0;00009600D7330000
1627076636.104700;1;545;0;8;8;0;0;0;9A00007A00000000
1627076636.104900;1;329;0;8;8;0;0;0;80AD70120020FF14
1627076636.110950;1;440;0;8;8;0;0;0;00000004FF000000
1627076636.111200;1;43F;0;8;8;0;0;0;004040FF6A000000
1627076636.111400;1;370;0;8;8;0;0;0;FF00000000000000
1627076636.113950;1;316;0;8;8;0;0;0;0500000000140080
1627076636.114200;1;260;0;8;8;0;0;0;1B00000000FF0000
1627076636.114450;1;2A0;0;8;8;0;0;0;00009600D7330000
1627076636.114700;1;545;0;8;8;0;0;0;9A00007A00000000
1627076636.114950;1;329;0;8;8;0;0;0;80AD70120020FF14
1627076636.119350;1;440;0;8;8;0;0;0;00000004FF000000
1627076636.119600;1;43F;0;8;8;0;0;0;004040FF6A000000
1627076636.119850;1;370;0;8;8;0;0;0;FF00000000000000
1627076636.123950;1;316;0;8;8;0;0;0;0500000000140080
1627076636.124200;1;260;0;8;8;0;0;0;1B00000000FF0000
1627076636.124450;1;2A0;0;8;8;0;0;0;00009600D7330000
1627076636.124700;1;545;0;8;8;0;0;0;9A00007A00000000
1627076636.124950;1;329;0;8;8;0;0;0;80AD70120020FF14
1627076636.127300;1;440;0;8;8;0;0;0;00000004FF000000
1627076636.127550;1;43F;0;8;8;0;0;0;004040FF6A000000
1627076636.127800;1;370;0;8;8;0;0;0;FF00000000000000
1627076636.133950;1;316;0;8;8;0;0;0;0500000000140080
1627076636.134200;1;260;0;8;8;0;0;0;1B00000000FF0000
